channel_name,channel_id,real_state,lat_long,transcript_count,wordcount,speech_dur
Troy Michigan,UCm0tMiLQNPvL4Sz0CTjVYFg,Michigan,"(42.6064095, -83.1497751)",166,1800329,206:38:49.67
City of Oak Harbor,UCn1dx9RKIXMUr5s80nqG7hw,Washington,"(48.28829469999999, -122.6484205)",126,1772693,198:41:6.06
montgomeryva,UC4309B4P5WeQPjmZze1NUSw,Virginia,"(37.2070304, -80.4103957)",226,1768450,206:27:51.27
ILSpringfield,UCA6i8iv1zPHXx-sfI6DYF1w,Illinois,"(39.78172130000001, -89.6501481)",351,1753825,192:47:9.76
"The Official City Of DeKalb, Illinois Municipal Government Video Channel",UC_zpA4Z-yzeySUyvi44cZiQ,Illinois,"(41.9309747, -88.744069)",179,1706925,199:55:24.09
West Jordan,UC7Up4AfoWj0KebppgTvnLSg,Utah,"(40.6096698, -111.9391031)",146,1705740,206:56:4.27
Marion CountyFL,UCmYgAek8oIGmMcZe_y0OGzw,Florida,"(29.2787765, -82.12783999999999)",173,1695624,204:14:59.95
City Of Sebastian,UCpzAJigyTTM4gsU8NrjakIw,Florida,"(27.816415, -80.4706078)",178,1691195,189:29:8.8
RevereTV,UCGl4hREwgcCQxKA52C7Y_Bg,Massachusetts,"(42.410139, -71.01202540000001)",630,1688489,185:00:32.28
City of Richfield,UCW3EbpPy_Xwb2moaUUOFhVA,Minnesota,"(44.8832982, -93.28300209999999)",461,1618492,176:47:5.81
The City of Grand Rapids,UCBObm_Q73DcEDhgvdmoOh1w,Michigan,"(42.9633599, -85.6680863)",541,1569482,202:25:34.08
CityofOrlando,UCTOsxjDi8Wow6xhEbGvVugA,Florida,"(28.5383355, -81.3792365)",449,1569192,175:56:51.99
City of Punta Gorda,UC-Qo-k4PpXWo4IJQah6_Kqw,Florida,"(26.9297836, -82.0453664)",236,1524512,170:30:57.77
City of Columbus,UCfttJJ9T5_1W1JewiTJqzqA,Ohio,"(39.9611755, -82.99879419999999)",310,1516658,172:44:37.82
"City of Laconia, NH",UCDfxg8m4IMiGZikLF5pbE_g,New Hampshire,"(43.5278546, -71.4703509)",125,1513391,178:14:6.67
Town of Cary,UCFO7o7pWJ05YPZH6-T0hiyw,North Carolina,"(35.79154, -78.7811169)",378,1504812,171:06:50.58
"City of Casper, Wyoming",UCK-zvDPcmvu0mPRD2LPc6ng,Wyoming,"(42.8500769, -106.3251749)",109,1484291,182:01:4.56
"Kansas City, Mo. City Communications",UCYYgwhGr1HSqRi_h5uPF2Kg,Kansas,"(39.0083059, -94.4579961)",729,1463985,154:29:32.25
City of Sherwood,UC4hM1ujLIVpZAqSr0vM0Z7g,Oregon,"(45.3562638, -122.8402122)",148,1404443,167:15:57.17
Watch Berkeley Gov,UCHiRuLn-_8Fk1XMK8W7oP3w,California,"(37.8715926, -122.272747)",163,1390221,154:18:20.87
Municipal Meeting,UCYkaKwd_1OokRKlvteABFZQ,Rhode Island,"(41.6627151, -71.4524155)",123,1382369,168:18:20.83
centervillecityutah,UCqZ-L_LnFpbGbsBRKz4QFHA,Utah,"(40.9180005, -111.8721601)",88,1374124,152:55:41.07
