,channel_name,location,channel_id,lat_long,no_videos,word_count,population,video_duration,mean_syl_sec,std_syl_sec
475,ClerkPBC,"West Palm Beach, Florida",UCNvqLXX6GTxXT7Oh2ugk2Zw,"(26.7152573, -80.0539668)",4,6764,110222.0,2981.2699999999995,4.7902056589275706,0.8754133407598443
476,Newburgh Maine,"Newburgh, Maine",UCiANGUnQ2sSa7SaV_sSW2Aw,"(44.71736749999999, -69.0003898)",38,273389,1499.0,137976.19200000004,4.786101179128728,0.18950117699908123
477,Huntsville AL Chamber,"Huntsville, Alabama",UCAAaVq-FtTy8HOhVel2f8sQ,"(34.732008, -86.58898599999999)",16,11685,194585.0,5931.214999999999,4.786034735755027,0.2837987541794833
478,Helena Civic Television,"Helena, Montana",UC9AloSLo5HpsRCpfnFo7fcQ,"(46.60445199999999, -112.0225599)",52,194785,31429.0,85566.306,4.781950092500604,0.4091782172679882
479,JolietChamber,"Joliet, Illinois",UCrw4xfNf3J6cLHhBT9MZONw,"(41.525363, -88.08194300000001)",12,15202,148462.0,7108.398999999999,4.780642021326638,0.47698203455705956
480,The Rappahannock Record,"Kilmarnock, Virginia",UCLvUPpawpHiVisnCS6XAkqA,"(37.7114492, -76.3808789)",11,41041,1416.0,26863.778,4.767017452503854,0.24604674480471458
481,montgomerycountymd,"Montgomery County, Maryland",UC5NXwF1EDfbecNogLVlrALw,"(39.1547426, -77.2405153)",50,70235,1058810.0,28580.279000000002,4.766892862434011,0.43201402064981886
482,Bernalillo County,"Bernalillo County, New Mexico",UCAKt5BZwiEUsv7sfIuPVDFQ,"(35.0177854, -106.6291304)",4,21904,676773.0,9110.859999999999,4.7635511800444075,0.6610905912404897
483,CityofTacoma,"Tacoma, Washington",UCeE_KkLW1qXJvzHPt6jCquQ,"(47.2528768, -122.4442906)",2,3545,213418.0,1285.74,4.762287926299077,0.09013039279498719
484,fultoncountybcbs,"Atlanta, Georgia",UCwvUHaBlFXXlE56OIqw18bQ,"(33.8477268, -84.36819779999999)",6,4666,486290.0,3266.75,4.75894832600961,0.23062131396865834
485,Woodland Park Colorado,"Woodland Park, Colorado",UCeKKRfEM3cKxDB3yz19_eDQ,"(38.9938808, -105.0569301)",133,1115208,7642.0,507263.32800000015,4.749413273455962,0.30845194979876034
486,"Spring Lake, NC","Spring Lake, North Carolina",UCm0CjxLmNE738zbbEDXqKbg,"(35.1679395, -78.97280560000002)",2,3431,12580.0,1887.1299999999999,4.748634416495233,0.5179567048915876
487,"City of La Marque, Texas","La Marque, Texas",UCxVsgw5xtGI61mjpnZIsq_A,"(29.3685674, -94.9713134)",7,23339,16766.0,12819.098000000002,4.745376548459672,0.24314635803438023
488,Minneapolis KS City Council,"Minneapolis, Kansas",UCA6z63vmfvbdwJ2AYtXy05Q,"(39.1231551, -97.7056365)",20,127008,1960.0,92230.659,4.73983925232263,0.16665354748834488
489,Lovington CityHall,"Lovington, New Mexico",UClx_ZlWABOnJ8VIMCmNxUHQ,"(32.9469039, -103.3474216)",2,12325,11152.0,7173.0,4.713873185386416,0.10356964884924268
490,"CDL Boulder City, NV","Boulder City, Nevada",UCafmz4bssPAHklFxg7bYnGg,"(35.976325, -114.849629)",4,15199,15971.0,7190.467999999999,4.707424027368786,0.35117816260612683
491,"Wilson County, TN - Government","Lebanon, Tennessee",UCJ0nj4kiFHnfPUlW4uySzww,"(36.2131167, -86.28905320000001)",38,75738,32226.0,36567.024999999994,4.67175282569728,0.500146063834025
492,TheBurbankChannel,"Burbank, California",UCNDlWLv3ZR1YlYRBxemNF3A,"(34.1808392, -118.3089661)",1,6156,104834.0,3202.62,4.664658529317269,
493,Central County Water Control District,"Clewiston, Florida",UCPO42Ece_pmdcQnrtDze-VA,"(26.6227859, -81.0785101)",3,29192,7720.0,19199.93,4.6633766026447985,0.09679040091319262
494,Iowa Government,"Des Moines, Iowa",UCc0mFeh-UgNJJ8rckSDSeFw,"(41.591247, -93.6009484)",7,7285,217521.0,3152.6690000000003,4.663244955728198,0.2129669309188106
495,Town of Hope Indiana,"Hope, Indiana",UCP0V3YxQavE_NWKSYNw-7EQ,"(39.3039397, -85.77137220000002)",2,20146,2180.0,10161.739,4.6596369947286185,0.11703628913486785
496,MS Library Commission,"Jackson, Mississippi",UCQ3sc0r86d2-cZ-NngizHRA,"(32.3394965, -90.14696359999999)",13,4563,166965.0,2002.049,4.639363534809086,0.37354466794601954
497,North Beach MD Town Meetings,"North Beach, Maryland",UC8Fpm9HJuO0ucbnCqp5H60w,"(38.7048652, -76.53337619999999)",2,11860,2014.0,6797.119000000001,4.633207755903806,0.1404849628998593
498,"Peoria County, IL, Government","Peoria, Illinois",UC-qaAdj6tzIxqi3odzEoMlQ,"(40.6929334, -89.5897553)",4,1031,112883.0,453.6,4.61307269697418,0.4755555416075036
499,"City of Huntington, WV","Huntington, West Virginia",UCIbOv9DiKt7s8KPLAjRwD8g,"(38.4192496, -82.44515400000002)",5,7823,47079.0,4113.57,4.610552721956455,0.2830445959001
500,Davie County Government North Carolina,"Mocksville, North Carolina",UCAiN6jkUKjTwR9skwbCiX7g,"(35.8936073, -80.5622214)",20,73224,5271.0,39436.49800000001,4.604507218275156,0.3485896094649242
501,Arizona City Council Managers,"Paradise Valley, Arizona",UCfETHSDPPzHUpTnt1v4ETSw,"(33.5307551, -111.9425145)",1,18969,14293.0,9158.061,4.602507726125943,
502,"Dermott, AR - City Council Meetings","Dermott, Arkansas",UCvnMypyvB77uiB3lQOM31WQ,"(33.527622, -91.43401899999999)",6,18741,2597.0,15467.978000000001,4.600778886099032,0.21497626197385594
503,"City of Cuba, Missouri","Cuba, Missouri",UCh7i3_jSD81CUG2b4SsMRHw,"(38.0628225, -91.40348329999999)",12,9340,3307.0,37436.727,4.508320895743966,0.3429363582948416
504,"Town of Scottsville, Virginia","Scottsville, Virginia",UCaHK29YBXdB-aMl_b6e7rhA,"(37.798754, -78.4955648)",2,9009,612.0,4655.03,4.5046774725781855,0.3217502943636684
505,Mississippi Department of Human Services,"Jackson, Mississippi",UCyIAzmybt32v-YoYNYbDVHw,"(32.2983727, -90.1860277)",5,2348,166965.0,1065.3390000000002,4.389258825304605,0.3407959397458891
