,channel_name,location,channel_id,lat_long2,no_videos,wordcount,mean_syl_sec
354,City Of Cortez Council Meetings,"Cortez, Colorado",UCuJXUzV7IZDST9p2BLMGA7g,"(37.3503413, -108.5695371)",44,343695,5.0273898415951015
355,MetroNashville,"Nashville, Tennessee",UCKpWDnPeJ9IQ9Sx7AfBORhg,"(36.171835, -86.78063069999999)",477,1187453,5.026199863971352
356,"City of Dover, Delaware","Dover, Delaware",UCE48l9y073rRIXVx9EbLCpA,"(39.158168, -75.5243682)",23,124833,5.024809918300472
357,Town of Waxhaw NC,"Waxhaw, North Carolina",UCaVNojVBJdyFHzC1zkvhK7w,"(34.9245935, -80.7434019)",86,428705,5.024340443908084
358,"The Official City Of DeKalb, Illinois Municipal Government Video Channel","DeKalb, Illinois",UC_zpA4Z-yzeySUyvi44cZiQ,"(41.928178, -88.7503978)",176,1696763,5.022707599130822
359,PlattevilleWISC,"Platteville, Wisconsin",UC6UORZ8U7NlaS3giNhyuAaA,"(42.73416, -90.4784621)",88,629718,5.020202197691791
360,centervillecityutah,"Centerville, Utah",UCqZ-L_LnFpbGbsBRKz4QFHA,"(40.9180005, -111.8721601)",88,1368533,5.020048203614672
361,City of Kingman,"Kingman, Arizona",UCCefFg5UL6weXKr-wenyHVQ,"(35.189443, -114.0530065)",9,26564,5.019955506837929
362,"City of Albany, Oregon","Albany, Oregon",UCbJgGQBiWbOMvpHnGbMLa8w,"(44.6365107, -123.1059282)",19,44973,5.019877371666744
363,Provo City Council,"Provo, Utah",UC1yR7j8igrjxXOR0XsCasfw,"(40.233174, -111.664711)",47,475294,5.018923499881795
364,WaterlooCommunityTV,"Waterloo, Iowa",UCykjSisg4jbUpxXoEIOqw5A,"(42.485517, -92.3334264)",347,3237035,5.017717828185966
365,Town of Cary,"Cary, North Carolina",UCFO7o7pWJ05YPZH6-T0hiyw,"(35.79154, -78.7811169)",355,1485881,5.016368158892129
366,City of Albion,"Albion, Michigan",UCIsBR9GwwVJIL2wyGJCiXfg,"(42.243097, -84.7530304)",7,42431,5.01572295930616
367,City of Savannah,"Savannah, Georgia",UCNaTc-Sjmlyby6XoBK8ZtrQ,"(32.0808989, -81.091203)",327,756800,5.015714057959109
368,Webster Massachusetts,"Webster, Massachusetts",UC1GDU6rDxjb7u7c9NnBm8qw,"(42.05009099999999, -71.88006279999999)",75,688583,5.014628982725606
369,Town of New Milford,"New Milford, Connecticut",UCy-PHUq7KONS5ytwwbiyMdA,"(41.5778088, -73.4101187)",54,604522,5.014522267136949
370,Millville Cable Access,"Millville, Massachusetts",UCUmDFf-Vh4YhDiMqAnaMsug,"(42.0278756, -71.5808973)",13,153796,5.0142666236471225
371,St. Louis County,"St Louis County, Missouri",UC2zQKsLDopMP6vAxDzAD0gw,"(38.6103023, -90.4125181)",7,9070,5.014201008298813
372,Pembroke Pines Media,"Pembroke Pines, Florida",UC5C4-X_lLc_8dZ3pJzYRkZA,"(26.0274521, -80.34878549999999)",73,124018,5.008999302395707
